id,etag,title,authors,publishedDate,description,pageCount,printType,maturityRating,imageLinks,language,previewLink,textSnippet,ISBN_10,ISBN_13,genre
OkW7AQAACAAJ,nbYgZxF7Axc,Fantastic Beasts and Where to Find Them: The Illustrated Edition,"J. K. Rowling, Newt Scamander",2017-11-07,"An essential companion to the Harry Potter novels, now fully illustrated! Fantastic Beasts and Where to Find Them, Newt Scamander's classic compendium of magical creatures, has delighted generations of wizarding readers. With this beautiful, large-scale new edition illustrated in full color, Muggles too will have the chance to discover where the Runespoor lives, what the Puffskein eats, and why shiny objects should always be kept away from the Niffler. Proceeds from the sale of this book will go to Comic Relief and J.K. Rowling's international charity, Lumos, which will do magic beyond the powers of any wizard. If you feel that this is insufficient reason to part with your money, one can only hope that passing wizards feel more charitable if they see you being attacked by a Manticore.",160.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=OkW7AQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=OkW7AQAACAAJ&dq=harry+potter&hl=&cd=1&source=gbs_api,"Offers alphabetically arranged entries detailing the characteristics of such mythical beasts as hippogriffs, blast-ended skrewts, dragons, and unicorns.",1338216791,9781338216790.0,Fantasy
kLAoswEACAAJ,nDhjsiZd8oA,Harry Potter and the Cursed Child,"J. K. Rowling, Jack Thorne, John Tiffany",2017,"As an overworked employee of the Ministry of Magic, a husband, and a father, Harry Potter struggles with a past that refuses to stay where it belongs while his youngest son, Albus, finds the weight of the family legacy difficult to bear.",0.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=kLAoswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=kLAoswEACAAJ&dq=harry+potter&hl=&cd=2&source=gbs_api,"As an overworked employee of the Ministry of Magic, a husband, and a father, Harry Potter struggles with a past that refuses to stay where it belongs while his youngest son, Albus, finds the weight of the family legacy difficult to bear.",0751565369,9780751565362.0,Fantasy
wrOQLV6xB-wC,ME2zn/m5cF0,Harry Potter and the Sorcerer's Stone,J.K. Rowling,2015-12-08,"Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'. Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin! Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.",311.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=wrOQLV6xB-wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=wrOQLV6xB-wC&dq=harry+potter&hl=&cd=3&source=gbs_api,"With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.",1781100489,9781781100486.0,Fantasy
JGQBcu5O_ZcC,5PwvUsDXNX4,Friends and Foes of Harry Potter,"Nikita Agarwal, Chitra Agarwal",2005,"There is no doubt that Harry Potter reigns over the children's literature market. J.K.Rowling's inimitable cast of Harry Potter adventures has ignited the imaginations of children and grown-ups alike all over the world. But how much do you really know about J.K. Rowling's inimitable characters? Did you know that the Harry Potter characters hold secrets behind their names? Hermione, Snape, Crabbe, even Hogwarts School - all have histories waiting to be discovered.Now, two young fans of the Harry Potter series present a companion book for other readers who can't get enough of Harry and his friends and foes. This book, Friends and Foes of Harry Potter: Names Decoded, reveals the secrets behind the names of the mysterious characters, houses, and pets. Written by young fans, for all fans, this book also offers journaling space, trivia quizzes, and exquisite illustrations.This book is a perfect gift for children and adults whose inquisitive natures match those of their favorite heroes, Harry, Hermione, and Ron. Fans can quiz each other and use the glossary to look up unfamiliar terms that are unique to the Harry Potter series. What is the meaning behind Harry Potter's name? Or the uncanny resemblance of Voldemort to the Roman god of Time? You'll have to read Friends and Foes of Harry Potter to find out!",162.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=JGQBcu5O_ZcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=JGQBcu5O_ZcC&printsec=frontcover&dq=harry+potter&hl=&cd=4&source=gbs_api,"This book, Friends and Foes of Harry Potter: Names Decoded, reveals the secrets behind the names of the mysterious characters, houses, and pets.",159800221X,9781598002218.0,Fantasy
Aaug_RnI-xQC,hWMaAelKJR8,The Irresistible Rise of Harry Potter,Andrew Blake,2002-12-17,"Blake's examination of the Potter phenomenon raises serious questions about the condition of the publishing industry, filmmaking, and the ways in which the Potter consumer campaign has changed ideas about literature and reading.",140.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=Aaug_RnI-xQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=Aaug_RnI-xQC&printsec=frontcover&dq=harry+potter&hl=&cd=5&source=gbs_api,"Blake&#39;s examination of the Potter phenomenon raises serious questions about the condition of the publishing industry, filmmaking, and the ways in which the Potter consumer campaign has changed ideas about literature and reading.",1859846661,9781859846667.0,Fantasy
nmXTy4FPfcwC,eUsHdtwhRDw,Harry Potter and the Chamber of Secrets,J. K. Rowling,1999,"Witchcraft, wizardry - fiction.",260.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=nmXTy4FPfcwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=nmXTy4FPfcwC&q=harry+potter&dq=harry+potter&hl=&cd=7&source=gbs_api,"Witchcraft, wizardry - fiction.",1551922444,9781551922447.0,Fantasy
DKcWE3WXoj8C,g0MmlYa/lL0,Harry Potter and International Relations,"Daniel H. Nexon, Iver B. Neumann",2006,"Drawing on a range of historical and sociological sources, this work shows how aspects of Harry's world contain aspects of our own. It also includes chapters on the political economy of the franchise, and on the problems of studying popular culture.",262.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=DKcWE3WXoj8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=DKcWE3WXoj8C&printsec=frontcover&dq=harry+potter&hl=&cd=8&source=gbs_api,"Drawing on a range of historical and sociological sources, this work shows how aspects of Harry&#39;s world contain aspects of our own.",0742539598,9780742539594.0,Fantasy
JHEkAQAAMAAJ,sVI7aEp3W0A,Harry Potter and the Deathly Hallows,J. K. Rowling,2007,"""The final adventure in J.K. Rowling's phenomenal, best-selling Harry Potter book series""--Provided by publisher.",870.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=JHEkAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=JHEkAQAAMAAJ&q=harry+potter&dq=harry+potter&hl=&cd=9&source=gbs_api,"&quot;The final adventure in J.K. Rowling&#39;s phenomenal, best-selling Harry Potter book series&quot;--Provided by publisher.",,,Fantasy
BoX-6R21MgQC,QZCktXyY7Fs,The Psychology of Harry Potter,Neil Mulholland,2007-04-10,"Harry Potter has provided a portal to the wizarding world for millions of readers, but an examination of Harry, his friends and his enemies will take us on yet another journey: through the psyche of the Muggle (and wizard!) mind. The twists and turns of the series, as well as the psychological depth and complexity of J. K. Rowling’s characters, have kept fans enthralled with and puzzling over the many mysteries that permeate Hogwarts and beyond: • Do the Harry Potter books encourage disobedience? • Why is everyone so fascinated by Professor Lupin? • What exactly will Harry and his friends do when they finally pass those N.E.W.T.s? • Do even wizards live by the ticking of the clock? • Is Harry destined to end up alone? And why did it take Ron and Hermione so long to get together? Now, in The Psychology of Harry Potter, leading psychologists delve into the ultimate Chamber of Secrets, analyzing human mind and motivation by examining the themes and characters that make the Harry Potter books the bestselling fantasy series of all time. Grab a spot on the nearest couch, and settle in for some fresh revelations about our favorite young wizard!",338.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=BoX-6R21MgQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.co.in/books?id=BoX-6R21MgQC&printsec=frontcover&dq=harry+potter&hl=&cd=10&source=gbs_api,"Now, in The Psychology of Harry Potter, leading psychologists delve into the ultimate Chamber of Secrets, analyzing human mind and motivation by examining the themes and characters that make the Harry Potter books the bestselling fantasy ...",1935251376,9781935251378.0,Fantasy
IGvdhaVC5QwC,p5ED7SGEaHo,The Fellowship of the Ring,"John Ronald Reuel Tolkien, Christina Scull",2005,'The Fellowship of the Ring' is the first part of JRR Tolkien's epic masterpiece 'The Lord of the Rings'. This 50th anniversary edition features special packaging and includes the definitive edition of the text.|PB,571.0,BOOK,NOT_MATURE,http://books.google.com/books/content?id=IGvdhaVC5QwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.co.in/books?id=IGvdhaVC5QwC&dq=lord+of+the+rings&hl=&cd=1&source=gbs_api,&#39;The Fellowship of the Ring&#39; is the first part of JRR Tolkien&#39;s epic masterpiece &#39;The Lord of the Rings&#39;. This 50th anniversary edition features special packaging and includes the definitive edition of the text.|PB,0007203586,9780007203581.0,Fiction
