ISBN,title,authors,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,description
195153448,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg,"Classical Mythology, Sixth Edition, continues to build on its best-selling tradition of focusing on the literary tradition of Greek and Roman mythology through extensive translations of original mythological sources. Its coverage of comparative and interpretative approaches as well as evidencefrom art and archeology is expanded in this edition. Morford and Lenardon's insightful and accessible discussion of classical myths in their historical and cultural settings, as well as their survival in literature, art, music, and film, remains unparalleled: This comprehensive introduction toclassical mythology features new translations, expanded critical coverage, an expanded art program, and a new web site."
2005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,http://images.amazon.com/images/P/0002005018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,"In a small town in Canada, Clara Callan reluctantly takes leave of her sister, Nora, who is bound for New York. It's a time when the growing threat of fascism in Europe is a constant worry, and people escape from reality through radio and the movies. Meanwhile, the two sisters -- vastly different in personality, yet inextricably linked by a shared past -- try to find their places within the complex web of social expectations for young women in the 1930s. While Nora embarks on a glamorous career as a radio-soap opera star, Clara, a strong and independent-minded woman, struggles to observe the traditional boundaries of a small and tight-knit community without relinquishing her dreams of love, freedom, and adventure. However, things aren't as simple as they appear -- Nora's letters eventually reveal life in the big city is less exotic than it seems, and the tranquil solitude of Clara's life is shattered by a series of unforeseeable events. These twists of fate require all of Clara's courage and strength, and finally put the seemingly unbreakable bond between the sisters to the test."
60973129,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,http://images.amazon.com/images/P/0060973129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg,"The strategy and planning behind D-Day: “The best-researched, best-written account [of the Normandy Campaign] I have ever read.”—The New York Times Book Review One of the most controversial and dangerous military operations in the history of modern warfare, the battle for Normandy took over two years of planning by each country that made up the Allied forces. The event is mired to this day in myth and misconception, and untangling the web of work that led to D-Day is nearly as daunting as the work that led to the day itself. Drawing from declassified documents, personal interviews, diaries, and more, Carlo D’Este, a winner of the Pritzker Award, uncovers what really happened in Normandy. From what went right to what went wrong, D’Este takes readers on a journey from the very first moment Prime Minister Churchill considered an invasion through France to the last battles of World War II. With photos, maps, and first-hand accounts, readers can trace the incredible road to victory and the intricate battles in between. A comprehensive look into the military strategy surrounding the Second World War, Decision in Normandy is an absolute essential for history buffs. “A fresh perspective on the leadership of Field Marshal Bernard Montgomery and the Allied landings after D-Day.”—Publishers Weekly “Again and again he reveals new facets of familiar subjects—in part from his own dual American army and British academic background; in part by querying everyone and everything.”—Kirkus Reviews"
374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg,Documents the influenza epidemic of 1918 which killed approximately 40 million people around the world.
399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,"""Remarkable...mesmerizing...compelling.... An entire world unfolds in Tolstoyan tide of event and detail....Give yourself over to the world Ms. Tan creates for you."" —The New York Times Book Review Winnie and Helen have kept each other's worst secrets for more than fifty years. Now, because she believes she is dying, Helen wants to expose everything. And Winnie angrily determines that she must be the one to tell her daughter, Pearl, about the past—including the terrible truth even Helen does not know. And so begins Winnie's story of her life on a small island outside Shanghai in the 1920s, and other places in China during World War II, and traces the happy and desperate events that led to Winnie's coming to America in 1949. The Kitchen God's Wife is ""a beautiful book"" (Los Angeles Times) from the bestselling author of novels like The Joy Luck Club and The Backyard Bird Chronicles, and the memoir, Where the Past Begins."
425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425176428.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg,"With its in-depth reflections on the monumental events of the past, this amazing book of essays ponders what might have been if things had gone differently in history. Featuring Stephen J. Ambrose, John Keegan, and many others."
671870432,PLEADING GUILTY,Scott Turow,1993,Audioworks,http://images.amazon.com/images/P/0671870432.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg,"This book addresses the fundamental ethical and legal aspects, penal consequences, and social context arising from a citizen's acceptance of guilt. The focus is upon sentencing people who have pleaded guilty; in short, post-adjudication, rather than issues arising from discussions in the pretrial phase of the criminal process. The vast majority of defendants across all common law jurisdictions plead guilty and as a result receive a reduced sentence. Concessions by a defendant attract more lenient State punishment in all western legal systems. The concession is significant: At a stroke, a guilty plea relieves the State of the burden of proving the defendant's guilt beyond a reasonable doubt, and in open court. Plea-based sentencing has become even more visible in recent years. The book provides insightful commentary on the following questions: - If an individual voluntarily accepts guilt, should the State receive this plea without further investigation or any disinterested adjudication? - Is it ethically acceptable to allow suspects and defendants, to self-convict in this manner, without independent confirmation and evidence to support a conviction? - If it is acceptable, what is the appropriate State response to such offenders? - If the defendant is detained pretrial, the ability to secure release in return for a plea may be particularly enticing. Might it be too enticing, resulting in wrongful convictions?"
679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,http://images.amazon.com/images/P/0679425608.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg,"Examines the popular image of pirates in modern times and compares it with the real world of pirates, who were more often murderers and thieves than romantic heros."
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner,http://images.amazon.com/images/P/074322678X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg,"Now back in print, Ann Beattie's finest short story collection, reissued to accompany the publication of her latest novel, ""The Doctor's House."" Most of the characters in ""Where You'll Find Me"" grew up in the 1960s and 1970s, are in their twenties and thirties and embody a curious, yet familiar, fusion of hope and despair. In finely crafted narratives, Beattie writes of women nursing broken hearts, men looking for love, and married couples struggling to stay together."
771074670,Nights Below Station Street,David Adams Richards,1988,Emblem Editions,http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,"David Adams Richards’ Governor General’s Award-winning novel is a powerful tale of resignation and struggle, fierce loyalties and compassion. This book is the first in Richards’ acclaimed Miramichi trilogy. Set in a small mill town in northern New Brunswick, it draws us into the lives of a community of people who live there, including: Joe Walsh, isolated and strong in the face of a drinking problem; his wife, Rita, willing to believe the best about people; and their teenage daughter Adele, whose nature is rebellious and wise, and whose love for her father wars with her desire for independence. Richards’ unforgettable characters are linked together in conflict, and in inarticulate love and understanding. Their plight as human beings is one we share."
